company name,rating,reviews,salaries,interviews,job,benifits,photo
JustDial,3.6,4k,14.9k,270,51,385,7
Bajaj Allianz Life Insurance,4.1,4.1k,15.5k,256,64,493,11
Hero MotoCorp,4.2,3.9k,14.1k,277,1,616,7
OPPO,4.0,3.8k,13.3k,180,18,658,10
Mahindra Finance,4.3,3.9k,11k,112,26,516,6
DMart,4.0,3.9k,14k,311,149,485,2
Standard Chartered,3.9,3.9k,39.9k,204,6,338,--
Coforge,3.5,4k,37.4k,359,190,332,18
Cyient,3.8,3.8k,25.8k,234,78,498,3
BigBasket,4.0,3.9k,15.6k,292,99,443,24
ICICI Lombard General Insurance Company,3.8,3.8k,18.1k,214,8,382,15
Indiamart Intermesh,3.6,3.9k,18k,438,554,452,10
CGI Group,4.1,3.8k,42.6k,346,222,433,4
Virtusa Consulting Services,3.8,3.9k,51.7k,408,7,347,16
Equitas Small Finance Bank,4.4,3.7k,11.5k,147,532,403,15
TVS Motor,4.1,3.6k,14k,246,--,552,8
Manappuram Finance,4.0,3.6k,7.6k,113,36,270,9
Ekart Logistics,4.1,4.2k,11.2k,258,--,369,28
GlobalLogic,3.7,3.7k,32.4k,401,84,560,14
UST,3.8,3.6k,35.4k,354,63,459,13
SBI Cards & Payment Services,3.8,3.5k,15.1k,196,149,354,12
Hewlett Packard Enterprise,4.3,3.4k,30.6k,174,11,640,8
Atos Syntel,3.6,3.5k,34.7k,230,22,564,7
Bosch Global Software Technologies,4.1,3.6k,35.3k,251,15,727,19
IQVIA,4.0,3.6k,27.1k,356,27,555,--
Nagarro,4.1,3.7k,26.5k,553,54,1.2k,19
Cholamandalam Investment & Finance,4.1,3.6k,9.8k,133,27,316,17
SMFG India Credit,4.1,3.5k,10.5k,121,86,353,13
Bosch,4.3,3.3k,20.1k,266,--,645,16
Reliance Communications,4.0,3.2k,11.4k,74,2,382,--
BNY Mellon,4.0,3.4k,28.5k,260,332,557,1
L&T Technology Services,3.4,3.7k,34k,398,--,463,5
Schneider Electric,4.2,3.4k,21.3k,254,41,497,6
Hyundai Motor India Limited,4.4,3.3k,13k,208,6,583,16
Amdocs,4.0,3.4k,35.2k,413,--,696,20
Oyo Rooms,3.4,3.3k,24.1k,189,55,397,13
Swiggy,3.9,3.4k,19.3k,313,123,373,13
CBRE,4.2,3.3k,15.9k,196,73,485,11
State Bank of India,3.9,3.3k,10.3k,191,--,410,1
JBM Group,4.0,3.2k,13.1k,204,--,394,13
BT Group,4.1,3.3k,10.8k,120,62,318,--
